0:Vehiculo: matricula=1011011049712284:	marca=Peugeot:	modelo=508:	color=Rojo:	tarifa=1000.0:	disponible=true Puertas: 5 Marcha automática: true
0:Vehiculo: matricula=10311110711010626:	marca=Peugeot:	modelo=508:	color=Rojo:	tarifa=1000.0:	disponible=true Puertas: 5 Marcha automática: true
0:Vehiculo: matricula=1131091029711760:	marca=Peugeot:	modelo=508:	color=Rojo:	tarifa=1000.0:	disponible=true Puertas: 5 Marcha automática: true
0:Vehiculo: matricula=12110410512010072:	marca=Peugeot:	modelo=508:	color=Rojo:	tarifa=1000.0:	disponible=true Puertas: 5 Marcha automática: true
0:Vehiculo: matricula=1081161199810291:	marca=Peugeot:	modelo=508:	color=Rojo:	tarifa=1000.0:	disponible=true Puertas: 5 Marcha automática: true
0:Vehiculo: matricula=11811111011210863:	marca=Peugeot:	modelo=508:	color=Rojo:	tarifa=1000.0:	disponible=true Puertas: 5 Marcha automática: true
0:Vehiculo: matricula=1071201069912230:	marca=Peugeot:	modelo=508:	color=Rojo:	tarifa=1000.0:	disponible=true Puertas: 5 Marcha automática: true
0:Vehiculo: matricula=11712111711911134:	marca=Peugeot:	modelo=508:	color=Rojo:	tarifa=1000.0:	disponible=true Puertas: 5 Marcha automática: true
0:Vehiculo: matricula=10110611310412082:	marca=Peugeot:	modelo=508:	color=Rojo:	tarifa=1000.0:	disponible=true Puertas: 5 Marcha automática: true
0:Vehiculo: matricula=1081051009710262:	marca=Peugeot:	modelo=508:	color=Rojo:	tarifa=1000.0:	disponible=true Puertas: 5 Marcha automática: true
0:Vehiculo: matricula=11511310311211499:	marca=Peugeot:	modelo=508:	color=Rojo:	tarifa=1000.0:	disponible=true Puertas: 5 Marcha automática: true
0:Vehiculo: matricula=1079710610711430:	marca=Peugeot:	modelo=508:	color=Rojo:	tarifa=1000.0:	disponible=true Puertas: 5 Marcha automática: true
0:Vehiculo: matricula=10911712010711253:	marca=Peugeot:	modelo=508:	color=Rojo:	tarifa=1000.0:	disponible=true Puertas: 5 Marcha automática: true
0:Vehiculo: matricula=10211511111810175:	marca=Peugeot:	modelo=508:	color=Rojo:	tarifa=1000.0:	disponible=true Puertas: 5 Marcha automática: true
0:Vehiculo: matricula=10411910111811787:	marca=Peugeot:	modelo=508:	color=Rojo:	tarifa=1000.0:	disponible=true Puertas: 5 Marcha automática: true
0:Vehiculo: matricula=10211212010510022:	marca=Peugeot:	modelo=508:	color=Rojo:	tarifa=1000.0:	disponible=true Puertas: 5 Marcha automática: true
0:Vehiculo: matricula=1099911610411203:	marca=Peugeot:	modelo=508:	color=Rojo:	tarifa=1000.0:	disponible=true Puertas: 5 Marcha automática: true
0:Vehiculo: matricula=12010010610212257:	marca=Peugeot:	modelo=508:	color=Rojo:	tarifa=1000.0:	disponible=true Puertas: 5 Marcha automática: true
0:Vehiculo: matricula=10911410010912141:	marca=Peugeot:	modelo=508:	color=Rojo:	tarifa=1000.0:	disponible=true Puertas: 5 Marcha automática: true
